tractID,Median household income in the past 12 months (in 2024 inflation-adjusted dollars),Total:_x,Owner occupied,Renter occupied,Total:_y,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races:,Two races including Some Other Race,"Two races excluding Some Other Race, and three or more races",Median value (dollars),Total:,Less than 10.0 percent,10.0 to 14.9 percent,15.0 to 19.9 percent,20.0 to 24.9 percent,25.0 to 29.9 percent,30.0 to 34.9 percent,35.0 to 39.9 percent,40.0 to 49.9 percent,50.0 percent or more,Not computed,pct_owner_occ,pct_renter_occ,pct_white,pct_black,pct_asian,pct_amer_indian,pct_pacific_isl,pct_other_race,pct_two_plus_race,pct_renter_cost_burdened,pct_renter_severely_burdened,TRACTCE,GEOID
8,151528.0,1132,909,223,2661,2061,12,1,302,9,28,248,116,132,915400.0,223,0,26,11,32,13,60,12,13,55,1,0.8030035335689046,0.19699646643109542,0.7745208568207441,0.004509582863585118,0.11349116873355881,0.0003757985719654265,0.0033821871476888386,0.010522360015031942,0.09319804584742578,0.6278026905829597,0.24663677130044842,000800,53033000800
9,132083.0,884,727,157,1990,1554,0,0,283,0,22,131,36,95,1330900.0,157,5,15,21,12,23,7,13,0,32,29,0.8223981900452488,0.17760180995475114,0.7809045226130653,0.0,0.14221105527638192,0.0,0.0,0.011055276381909548,0.06582914572864322,0.33121019108280253,0.20382165605095542,000900,53033000900
10,153214.0,774,528,246,2150,1353,99,22,309,0,10,357,170,187,977800.0,246,42,33,32,23,14,13,16,13,56,4,0.6821705426356589,0.3178294573643411,0.6293023255813953,0.046046511627906975,0.14372093023255814,0.010232558139534883,0.0,0.004651162790697674,0.16604651162790698,0.3983739837398374,0.22764227642276422,001000,53033001000
11,155156.0,1068,742,326,2449,1594,116,0,395,0,79,265,222,43,894900.0,326,8,42,53,61,0,13,0,0,149,0,0.6947565543071161,0.3052434456928839,0.6508779093507554,0.04736627194773377,0.16129032258064516,0.0,0.0,0.03225806451612903,0.10820743160473663,0.49693251533742333,0.4570552147239264,001100,53033001100
12.01,49342.0,2404,497,1907,4351,2812,317,0,464,0,140,618,210,408,758000.0,1907,51,205,101,255,100,121,99,150,696,129,0.206738768718802,0.793261231281198,0.6462882096069869,0.07285681452539645,0.1066421512296024,0.0,0.0,0.03217651114686279,0.14203631349115145,0.5589931830099633,0.3649711588883062,001201,53033001201
12.02,96125.0,1834,504,1330,3932,1892,367,0,893,0,255,525,97,428,854000.0,1330,0,143,177,157,155,121,67,158,352,0,0.2748091603053435,0.7251908396946565,0.4811800610376399,0.09333672431332656,0.22711088504577823,0.0,0.0,0.06485249237029501,0.13351983723296032,0.524812030075188,0.2646616541353383,001202,53033001202
13,115208.0,2565,1016,1549,5552,2867,684,0,971,0,266,764,352,412,794000.0,1549,172,231,179,85,149,217,50,80,322,64,0.3961013645224172,0.6038986354775828,0.5163904899135446,0.12319884726224783,0.17489193083573487,0.0,0.0,0.047910662824207494,0.13760806916426513,0.4318915429309232,0.2078760490639122,001300,53033001300
14,133875.0,2204,1550,654,5257,3920,2,0,422,0,78,835,275,560,876300.0,654,0,0,72,69,144,45,81,61,182,0,0.7032667876588021,0.2967332123411978,0.7456724367509987,0.00038044512079132587,0.08027392048696975,0.0,0.0,0.014837359710861708,0.15883583793037853,0.5642201834862385,0.2782874617737003,001400,53033001400
15,193750.0,1131,983,148,2750,2312,2,0,143,0,27,266,86,180,1126700.0,148,33,7,35,40,0,9,0,0,14,10,0.8691423519009726,0.13085764809902742,0.8407272727272728,0.0007272727272727272,0.052,0.0,0.0,0.009818181818181818,0.09672727272727273,0.1554054054054054,0.0945945945945946,001500,53033001500
16,236500.0,2002,1580,422,4903,3749,36,0,489,0,89,540,188,352,1303300.0,422,0,128,28,79,86,29,0,33,39,0,0.7892107892107892,0.21078921078921078,0.7646338976137059,0.007342443401998776,0.09973485621048338,0.0,0.0,0.018152151743830308,0.11013665102998164,0.23933649289099526,0.0924170616113744,001600,53033001600
17.01,134375.0,2283,891,1392,4432,2783,217,17,607,26,168,614,166,448,626800.0,1392,50,99,301,190,217,140,0,106,239,50,0.3902759526938239,0.6097240473061761,0.6279332129963899,0.048962093862815886,0.13695848375451264,0.003835740072202166,0.0058664259927797835,0.03790613718411552,0.1385379061371841,0.3484195402298851,0.17169540229885058,001701,53033001701
17.02,122105.0,2432,1229,1203,5849,3998,99,77,749,0,174,752,409,343,889100.0,1203,56,13,206,145,226,123,147,100,146,41,0.5053453947368421,0.4946546052631579,0.6835356471191657,0.01692597025132501,0.1280560779620448,0.013164643528808343,0.0,0.029748674987177294,0.12856898615147888,0.428927680798005,0.12136325852036575,001702,53033001702
18,130855.0,2561,914,1647,4996,3144,93,23,997,105,210,424,79,345,869500.0,1647,108,275,113,217,227,197,139,106,265,0,0.35689183912534167,0.6431081608746584,0.6293034427542034,0.018614891913530825,0.19955964771817453,0.004603682946357086,0.021016813450760608,0.042033626901521216,0.08486789431545236,0.42926533090467517,0.16089860352155433,001800,53033001800
19,141494.0,2354,1203,1151,5242,3620,217,40,788,0,115,462,55,407,915800.0,1151,43,167,108,201,65,40,111,130,246,40,0.5110450297366185,0.48895497026338147,0.6905761159862648,0.04139641358260206,0.15032430370087752,0.007630675314765357,0.0,0.021938191529950402,0.08813429988553988,0.4578627280625543,0.21372719374456994,001900,53033001900
20,150219.0,1529,1047,482,4019,2933,67,2,564,0,35,418,166,252,890200.0,482,12,45,43,119,72,42,19,63,53,14,0.6847612818835841,0.31523871811641596,0.7297835282408559,0.016670813635232644,0.14033341627270465,0.0004976362279173924,0.0,0.008708633988554367,0.104005971634735,0.36721991701244816,0.10995850622406639,002000,53033002000
21,150529.0,2155,1392,763,5000,3480,79,19,748,0,175,499,97,402,943300.0,763,4,47,185,41,126,0,40,48,243,29,0.645939675174014,0.3540603248259861,0.696,0.0158,0.1496,0.0038,0.0,0.035,0.0998,0.4338138925294889,0.31847968545216254,002100,53033002100
22,196167.0,2379,1841,538,6381,4264,219,29,1184,0,35,650,277,373,1245900.0,538,33,0,160,50,116,0,22,18,85,54,0.7738545607398066,0.22614543926019337,0.6682338191506033,0.03432063939821345,0.18555085409810373,0.004544742203416392,0.0,0.005485033693778405,0.10186491145588465,0.23234200743494424,0.1579925650557621,002200,53033002200
24,176838.0,1383,1009,374,2938,2367,15,0,272,25,10,249,54,195,1157100.0,374,9,39,68,8,30,58,34,23,81,24,0.7295733911785972,0.27042660882140274,0.8056501021102791,0.0051055139550714775,0.09257998638529612,0.0,0.00850918992511913,0.0034036759700476512,0.08475153165418652,0.5240641711229946,0.21657754010695188,002400,53033002400
25,178173.0,1327,984,343,3295,2452,0,12,481,0,12,338,153,185,1037500.0,343,32,10,46,55,66,11,38,19,58,8,0.7415222305953278,0.2584777694046722,0.7441578148710167,0.0,0.14597875569044005,0.0036418816388467377,0.0,0.0036418816388467377,0.10257966616084978,0.3673469387755102,0.16909620991253643,002500,53033002500
26,190750.0,2271,1351,920,5654,4270,0,0,748,0,42,594,98,496,1157800.0,920,32,72,55,54,147,25,158,144,206,27,0.5948921180096873,0.4051078819903126,0.7552175451008136,0.0,0.13229571984435798,0.0,0.0,0.007428369296073576,0.10505836575875487,0.5793478260869566,0.22391304347826088,002600,53033002600
27,212544.0,2413,1682,731,6008,4653,31,68,746,14,20,476,148,328,1073800.0,731,20,97,123,165,136,62,22,43,63,0,0.6970576046415251,0.30294239535847495,0.7744673768308922,0.005159786950732357,0.12416777629826897,0.011318242343541944,0.002330226364846871,0.003328894806924101,0.0792276964047936,0.25991792065663477,0.08618331053351573,002700,53033002700
28,139955.0,2334,1468,866,5004,3737,213,0,312,5,54,683,178,505,1021600.0,866,16,111,53,254,52,110,106,11,33,120,0.6289631533847472,0.37103684661525277,0.746802557953637,0.042565947242206234,0.06235011990407674,0.0,0.0009992006394884093,0.01079136690647482,0.1364908073541167,0.3002309468822171,0.03810623556581986,002800,53033002800
29,175321.0,2164,1457,707,4645,3779,90,0,183,0,7,586,397,189,1074900.0,707,13,107,55,111,100,129,57,14,107,14,0.6732902033271719,0.3267097966728281,0.8135629709364909,0.0193756727664155,0.039397201291711516,0.0,0.0,0.0015069967707212056,0.12615715823466092,0.43422913719943423,0.15134370579915135,002900,53033002900
30,182500.0,2800,1886,914,6590,5235,150,0,378,0,127,700,177,523,984900.0,914,0,114,63,264,221,136,22,19,56,19,0.6735714285714286,0.3264285714285714,0.7943854324734446,0.02276176024279211,0.05735963581183612,0.0,0.0,0.01927162367223065,0.1062215477996965,0.2549234135667396,0.061269146608315096,003000,53033003000
31,191625.0,2745,2179,566,6742,5073,56,22,370,0,13,1208,744,464,1111200.0,566,0,39,206,73,56,0,17,44,87,44,0.7938069216757742,0.20619307832422587,0.7524473450014832,0.00830614061109463,0.0548798576090181,0.003263126668644319,0.0,0.001928211213289825,0.1791753188964699,0.26148409893992935,0.15371024734982333,003100,53033003100
32.01,131544.0,2729,1197,1532,4683,3451,59,0,611,0,286,276,76,200,1092000.0,1532,21,186,256,201,200,122,67,177,285,17,0.4386222059362404,0.5613777940637596,0.7369207772795217,0.012598761477685244,0.13047191970958788,0.0,0.0,0.0610719624172539,0.058936579115951314,0.42493472584856395,0.1860313315926893,003201,53033003201
32.02,175303.0,2224,1549,675,4831,3790,39,39,464,0,79,420,159,261,951600.0,675,37,40,56,144,148,78,28,58,86,0,0.6964928057553957,0.3035071942446043,0.7845166632167253,0.008072862761333057,0.0960463672117574,0.008072862761333057,0.0,0.016352722003725936,0.08693852204512523,0.37037037037037035,0.1274074074074074,003202,53033003202
33.01,131353.0,2245,734,1511,4157,3209,1,0,475,70,14,388,107,281,1064200.0,1511,43,225,284,206,185,68,174,132,194,0,0.32694877505567926,0.6730512249443207,0.7719509261486649,0.00024055809477988935,0.11426509502044743,0.0,0.016839066634592254,0.003367813326918451,0.09333654077459706,0.3759099933818663,0.128391793514229,003301,53033003301
33.02,153523.0,1725,892,833,3826,2859,19,0,414,0,129,405,271,134,926600.0,833,0,129,63,93,242,54,22,111,73,46,0.5171014492753623,0.48289855072463767,0.7472556194458965,0.004966021955044433,0.10820700470465237,0.0,0.0,0.033716675378985886,0.10585467851542081,0.31212484993997597,0.08763505402160865,003302,53033003302
34,186058.0,1417,1036,381,3580,2827,61,17,213,0,49,413,80,333,1167900.0,381,0,46,110,100,47,40,18,0,20,0,0.7311220889202541,0.26887791107974596,0.7896648044692738,0.017039106145251396,0.059497206703910614,0.0047486033519553075,0.0,0.013687150837988826,0.11536312849162011,0.2047244094488189,0.05249343832020997,003400,53033003400
35,151654.0,1851,1100,751,4099,3367,26,8,149,0,84,465,276,189,1198800.0,751,19,64,74,43,110,46,49,56,275,15,0.5942733657482442,0.4057266342517558,0.8214198585020737,0.006343010490363503,0.03635032934862162,0.0019516955354964625,0.0,0.020492803122712858,0.11344230300073188,0.5672436750998668,0.36617842876165113,003500,53033003500
36.01,111908.0,1883,917,966,3507,2580,50,13,400,0,153,311,71,240,997500.0,966,40,128,83,111,84,92,27,75,309,17,0.48698884758364314,0.5130111524163569,0.7356715141146278,0.014257199885942401,0.11405759908753921,0.0037068719703450244,0.0,0.04362703165098375,0.08867978329056174,0.520703933747412,0.3198757763975155,003601,53033003601
