GEOID,pct_holc_A,pct_holc_B,pct_holc_C,pct_holc_D,pct_holc_graded,holc_dominant_grade,holc_grade_score
53033005304,0.0,0.4483842144406614,0.0,0.0,0.4483842144406614,B,2.0
53033005901,0.0,0.13658324412143197,0.2847803991282271,0.0,0.4213636432496591,C,2.6758542263683007
53033005401,0.0,3.948537286583859e-07,0.03013501876316544,0.13189679650916167,0.16203221012605576,D,3.8140134702404045
53033010102,0.0314797336972918,0.19784145923045754,0.1713017798982567,0.0,0.400622972826006,B,2.3490115537175917
53033000602,0.0,0.0,0.0,0.0,0.0,ungraded,
53033008003,0.0,0.0,0.0,0.0,0.0,ungraded,
53033004102,0.14066680126341677,0.12448769903725573,0.11154136829641494,0.0,0.3766958685970874,A,1.922681835945076
53033010302,0.0,0.0,0.9999999999999997,0.0,0.9999999999999997,C,3.0
53033007001,0.06857386901175608,0.4426734968898746,0.45429769191599034,0.0,0.965545057817621,C,2.399488164515149
53033003601,0.0,0.5105464484284218,0.4491403722415727,0.0,0.9596868206699944,B,2.4680072317008697
53033010101,0.0,0.001944282243156523,0.9980557177568348,0.0,0.9999999999999913,C,2.998055717756843
53033004703,0.0,0.0,0.2128726330540184,0.0,0.2128726330540184,C,3.0
53033009802,0.0,1.0000000000000004,0.0,0.0,1.0000000000000004,B,2.0
53033005303,0.0019324692197666279,0.004372200692766106,0.00015158355243460316,0.0,0.0064562534649673375,B,1.7241611288969065
53033007301,0.0,0.0,0.08489692788933628,0.0,0.08489692788933628,C,3.0
53033008401,0.0,0.0,0.09317441667216868,0.6992207951642005,0.7923952118363692,D,3.88241421038343
53033011802,0.0,0.0,0.43939404162449164,0.0,0.43939404162449164,C,3.0
53033007002,0.0,0.8151212894805626,0.16692168791881232,0.0,0.982042977399375,B,2.1699739133218494
53033000601,0.0,0.0,0.0,0.0,0.0,ungraded,
53033004701,0.0,0.0,0.17438222669840633,0.0,0.17438222669840633,C,3.0
53033003800,0.0,0.0072385787998231,0.0,0.0,0.0072385787998231,B,2.0
53033002500,0.0,0.002633920595796817,0.0,0.0,0.002633920595796817,B,2.0
53033000900,0.0,0.0,0.0,0.0,0.0,ungraded,
53033008600,0.0,0.0,0.0,0.9015727876181581,0.9015727876181581,D,4.0
53033005306,0.0,0.6742432346611283,0.0,0.0,0.6742432346611283,B,2.0
53033005902,0.0,0.6470126759466852,0.2571260335973584,0.0,0.9041387095440436,B,2.2843878166957663
53033007201,0.0,0.0,0.0,0.0,0.0,ungraded,
53033005202,0.0,0.7055786435475118,0.0,0.0,0.7055786435475118,B,2.0
53033003602,0.0,0.7557190348017684,0.08281462254934893,0.0,0.8385336573511173,B,2.0987612385303125
53033005201,0.0,0.7657317198749987,0.0,0.0645569583564961,0.8302886782314948,B,2.1555048504190175
53033008402,0.0,0.0,0.06393995896417919,0.1410801691801194,0.2050201281442986,D,3.688128382598724
53033007302,0.0,0.0,0.0,0.0,0.0,ungraded,
53033011801,0.0,0.19910230925340355,0.405187010536423,0.0,0.6042893197898265,C,2.670518238974252
53033007203,0.0,0.0,0.065949573495322,0.0,0.065949573495322,C,3.0
53033011901,0.0,0.0,0.9378450248890957,0.0,0.9378450248890957,C,3.0000000000000004
53033001201,0.0,0.0,0.0,0.0,0.0,ungraded,
53033010602,0.14996186108163154,0.4578056592539823,0.0066794139269470846,0.03900288880596383,0.6534498230685247,B,1.900104541713356
53033010601,0.0,0.9972915653125524,0.0027084346874473473,0.0,0.9999999999999997,B,2.0027084346874475
53033011902,0.0,0.0,0.3613781717993106,0.0,0.3613781717993106,C,3.0
53033000201,0.0,0.0,0.0,0.0,0.0,ungraded,
53033006701,0.0,0.0,0.11305595381016383,0.0,0.11305595381016383,C,3.0
53033000102,0.0,0.0,0.0,0.0,0.0,ungraded,
53033010301,0.0,0.0,0.9999999999999902,0.0,0.9999999999999902,C,3.0
53033003301,0.0,0.49450525923576044,0.4959874377962763,0.0,0.9904926970320367,C,2.5007482026697208
53033005402,0.0,0.4920400144552233,0.35298037185880393,0.011086119964954254,0.8561065062789814,B,2.438207873713391
53033003201,0.0,0.0231065228984481,0.18477455589275113,0.0018311779045181928,0.20971225669571744,C,2.898549825703323
53033004201,0.0013592471877217362,0.32044179903532555,0.6781927461359979,0.0,0.9999937923590452,C,2.6768377005137056
53033000101,0.0,0.0,0.0,0.0,0.0,ungraded,
53033005307,0.0,1.0,0.0,0.0,1.0,B,2.0
53033006702,0.0,0.19791664865427866,0.41386241834656656,0.0,0.6117790670008452,C,2.676489995604892
53033007501,0.0,0.0,1.0,0.0,1.0,C,3.0
53033007502,0.0,0.0,0.8824463565473948,0.0,0.8824463565473948,C,2.9999999999999996
53033008004,0.0,0.0,0.0,0.0,0.0,ungraded,
53033007202,0.0,0.0,0.0,0.0,0.0,ungraded,
53033007303,0.0,0.0,0.0,0.0,0.0,ungraded,
